,form_type_description,filing_date,reporting_date,company_url,company_cik
1,PREC14A	Preliminary proxy statements contested solicitations,	2022-04-04		,,https://www.sec.gov/Archives/edgar/data/0000063908/000119312522095108/0001193125-22-095108-index.htm,0000063908
2,DFAN14A	Additional definitive proxy soliciting materials filed by non-management and Rule 14(a)(12) material,	2022-03-29		,,https://www.sec.gov/Archives/edgar/data/0000063908/000119312522088172/0001193125-22-088172-index.htm,0000063908
3,PRE 14A	Other preliminary proxy statements,	2022-03-28,	2022-03-28	,https://www.sec.gov/Archives/edgar/data/0000063908/000120677422000894/0001206774-22-000894-index.htm,0000063908
4,DFAN14A	Additional definitive proxy soliciting materials filed by non-management and Rule 14(a)(12) material,	2022-03-21		,,https://www.sec.gov/Archives/edgar/data/0000063908/000119312522079968/0001193125-22-079968-index.htm,0000063908
5,10-K	Annual report [Section 13 and 15(d) not S-K Item 405],	2022-02-24,	2021-12-31	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390822000011/0000063908-22-000011-index.htm,0000063908
6,DEFA14A	Additional definitive proxy soliciting materials and Rule 14(a)(12) material,	2022-02-22		,,https://www.sec.gov/Archives/edgar/data/0000063908/000095010322002878/0000950103-22-002878-index.htm,0000063908
7,8-K	Current report,	2022-02-18,	2022-02-14	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390822000007/0000063908-22-000007-index.htm,0000063908
8,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2022-02-10		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465922018067/0001104659-22-018067-index.htm,0000063908
9,SC 13G/A	Statement of acquisition of beneficial ownership by individuals - amendment,	2022-02-01		,,https://www.sec.gov/Archives/edgar/data/0000063908/000083423722003813/0000834237-22-003813-index.htm,0000063908
10,8-K	Current report,	2022-01-27,	2022-01-27	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390822000002/0000063908-22-000002-index.htm,0000063908
11,8-K	Current report,	2021-12-16,	2021-12-15	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000042/0000063908-21-000042-index.htm,0000063908
12,10-Q	Quarterly report [Sections 13 or 15(d)],	2021-11-02,	2021-09-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000039/0000063908-21-000039-index.htm,0000063908
13,8-K	Current report,	2021-10-27,	2021-10-27	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000037/0000063908-21-000037-index.htm,0000063908
14,8-K	Current report,	2021-09-24,	2021-09-23	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000034/0000063908-21-000034-index.htm,0000063908
15,10-Q	Quarterly report [Sections 13 or 15(d)],	2021-08-04,	2021-06-30	,https://www.sec.gov/Archives/edgar/data/0000063908/000006390821000030/0000063908-21-000030-index.htm,0000063908
16,S-3ASR	Automatic shelf registration statement of securities of well-known seasoned issuers,	2021-07-29		,,https://www.sec.gov/Archives/edgar/data/0000063908/000110465921097669/0001104659-21-097669-index.htm,0000063908
